icao24,origin_country,velocity,geo_altitude
e49f59,Brazil,230.51,12656.82
800463,India,253.08,9814.56
4cc27c,Iceland,218.44,11338.56
e49311,Brazil,236.38,12313.92
3c6571,Germany,208.64,10073.64
3443cc,Spain,16.46,
e49314,Brazil,134.2,2453.64
7c6c79,Australia,32.56,106.68
7c6c76,Australia,0.06,
7c49b7,Australia,69.76,1219.2
a39e0c,United States,208.13,10050.78
acc23f,United States,228.96,10812.78
ada5ed,United States,225.66,13281.66
758403,Philippines,216.86,6949.44
ada5ee,United States,242.35,10934.7
782079,China,242.82,9974.58
782078,China,233.32,9189.72
abb595,United States,0.0,
a7b0c4,United States,216.46,11430.0
4846e7,Kingdom of the Netherlands,5.92,
a30849,United States,209.44,12519.66
c0104f,Canada,131.59,2819.4
ac858a,United States,180.84,6492.24
a45091,United States,197.76,10751.82
acbb59,United States,42.2,1036.32
c01040,Canada,4.89,
a84699,United States,187.44,3421.38
a368b2,United States,56.92,541.02
ad8b61,United States,164.3,8907.78
a248da,United States,41.37,259.08
a03235,United States,224.3,9959.34
a903d4,United States,156.45,8839.2
a235b7,United States,187.2,4823.46
a14b1a,United States,187.73,11125.2
a27e12,United States,89.11,2446.02
80047c,India,241.62,10873.74
a15e22,United States,273.53,13487.4
0d10bc,Mexico,243.18,9761.22
0b2025,El Salvador,37.74,2651.76
a008ed,United States,246.65,8641.08
abb59e,United States,103.41,868.68
ade252,United States,2.83,
e48ac6,Brazil,52.38,1082.04
aba281,United States,267.73,9258.3
a8effc,United States,4.85,419.1
aa8164,United States,245.95,10972.8
a390ff,United States,146.92,1645.92
a10eba,United States,41.21,1379.22
78209e,China,62.35,601.98
a3b8e1,United States,233.07,10873.74
ad9274,United States,58.58,1348.74
a1ae05,United States,247.81,11300.46
7c49f9,Australia,130.18,5783.58
8016a3,India,15.62,10012.68
ad928b,United States,0.77,
4aca64,Sweden,254.68,13091.16
ad928e,United States,208.82,11277.6
4aca63,Sweden,216.95,12123.42
4aca66,Sweden,253.83,10980.42
a83335,United States,73.57,1371.6
a7133f,United States,5.14,
a102e2,United States,232.74,11841.48
aa7a61,United States,221.86,11193.78
7c6c27,Australia,1.03,
8016a4,India,200.14,7284.72
ab77b9,United States,86.05,1295.4
7c6c24,Australia,92.09,3870.96
c02f6a,Canada,235.39,11125.2
a2bb10,United States,202.88,11765.28
a7c3a2,United States,38.16,1165.86
a34ecc,United States,62.76,304.8
76b861,Singapore,62.01,472.44
a653f9,United States,164.55,3794.76
a69c6b,United States,157.19,13906.5
a89fda,United States,232.71,9806.94
a9af3e,United States,20.58,
adee9b,United States,129.64,2499.36
a7cfe3,United States,236.13,6187.44
a5d355,United States,39.16,358.14
a70c4f,United States,211.39,6987.54
a475a3,United States,232.13,10485.12
0a0078,Algeria,218.6,
abfd00,United States,0.0,
a41518,United States,0.06,
e48afd,Brazil,152.7,3154.68
a880b0,United States,242.94,10195.56
a248ee,United States,42.11,723.9
440356,Austria,91.68,1226.82
a520f8,United States,30.88,495.3
a1c869,United States,97.1,2659.38
471fa4,Hungary,111.23,716.28
ab77d5,United States,167.46,3985.26
aa31c2,United States,211.55,6057.9
a83f98,United States,255.98,11658.6
abc7a3,United States,233.78,7025.64
471fac,Hungary,248.54,11049.0
76b86d,Singapore,243.2,11719.56
a57078,United States,62.25,327.66
c81c2d,New Zealand,39.8,579.12
c07cf6,Canada,247.94,9166.86
c01c5b,Canada,94.56,4853.94
a6ff7f,United States,223.99,8877.3
c82322,New Zealand,33.85,358.14
a88ccf,United States,0.0,
ac3731,United States,144.45,1424.94
c0101a,Canada,189.03,3779.52
a27e53,United States,45.79,358.14
46b927,Greece,267.54,11071.86
4a08a5,Romania,250.6,11689.08
8015c1,India,96.76,571.5
781a1f,China,213.75,6896.1
a3a5eb,United States,22.64,
0d118f,Mexico,214.76,11330.94
a3a5ec,United States,79.65,830.58
ab15ba,United States,220.86,9906.0
ad4eb5,United States,269.27,9768.84
a2d583,United States,53.65,1341.12
a27275,United States,74.54,1059.18
ac7e1c,United States,232.41,10317.48
a4abc6,United States,35.22,251.46
a69bb1,United States,179.69,12031.98
8015c9,India,253.76,10325.1
8015c7,India,261.47,11026.14
a8de10,United States,243.6,11247.12
4080a2,United Kingdom,280.52,10393.68
47b1dc,Norway,256.36,10485.12
a69bbb,United States,193.44,10972.8
a582bb,United States,0.0,
a2d573,United States,122.45,2522.22
abae2c,United States,99.91,1234.44
873356,Japan,247.32,10523.22
a45bd7,United States,244.01,10812.78
8a0378,Indonesia,230.83,12009.12
8015cd,India,253.4,11026.14
a38b61,United States,242.62,7848.6
aa2b21,United States,233.87,9403.08
a39e7d,United States,190.03,3238.5
a2725d,United States,209.85,6248.4
a63b3c,United States,207.77,8282.94
a3db5e,United States,245.59,10279.38
a2e87e,United States,259.96,10279.38
7c2431,Australia,55.12,1043.94
aaa86a,United States,203.16,10104.12
abb534,United States,232.53,9144.0
aaa86c,United States,0.0,
a858f3,United States,218.92,9494.52
a0e2e5,United States,58.87,403.86
a4abe6,United States,44.67,716.28
aae2b1,United States,210.12,11125.2
8a0365,Indonesia,69.43,68.58
a475d8,United States,248.28,11140.44
8015a8,India,260.14,9898.38
ab5e6c,United States,245.61,11612.88
a39e6b,United States,223.33,5981.7
a63b49,United States,187.53,4838.7
a52258,United States,43.84,563.88
a88e2e,United States,225.55,10835.64
a69bdd,United States,70.39,1021.08
440304,Austria,230.07,9745.98
e0b109,Argentina,163.77,3474.72
a1fbd9,United States,0.0,
873378,Japan,248.82,6766.56
ad4eba,United States,66.31,198.12
8015ab,India,195.65,9494.52
aaa893,United States,221.75,11216.64
a70bc9,United States,193.72,5684.52
c8234a,New Zealand,232.89,11064.24
4a08e9,Romania,216.61,7452.36
ad8b1d,United States,96.67,777.24
885312,Thailand,197.76,4663.44
a0a7a0,United States,197.27,10607.04
c82379,New Zealand,154.97,5654.04
4080f1,United Kingdom,254.25,11010.9
aa9eb3,United States,226.36,9669.78
a057c7,United States,0.0,
0a0018,Algeria,219.97,10294.62
c06a9b,Canada,192.44,7132.32
0a0019,Algeria,249.09,10576.56
a6681d,United States,56.19,1744.98
a3b8f5,United States,0.32,
885307,Thailand,256.12,11277.6
abae62,United States,228.1,12016.74
885306,Thailand,77.66,716.28
a2c27e,United States,156.36,3657.6
885308,Thailand,231.19,10507.98
885301,Thailand,179.12,5250.18
0a0026,Algeria,259.67,11757.66
7c6af1,Australia,136.2,3002.28
758453,Philippines,95.14,1851.66
e491a1,Brazil,170.53,5227.32
05a0a6,Maldives,59.55,60.96
aae2d9,United States,253.35,10835.64
a0f70c,United States,208.53,11239.5
ac8577,United States,2.06,
a70092,United States,240.12,11590.02
acce3f,United States,145.0,3360.42
a057cc,United States,201.36,7802.88
7c0a70,Australia,49.14,320.04
7c6aea,Australia,101.15,3322.32
0ac3a8,Colombia,232.73,8039.1
c8236e,New Zealand,0.0,
abb54f,United States,204.85,12031.98
ab5e9b,United States,265.15,11178.54
7c6ae5,Australia,82.73,800.1
acc21f,United States,51.12,1386.84
3c4ad9,Germany,230.85,8260.08
4080bf,United Kingdom,269.9,10469.88
7c6ae3,Australia,11.32,76.2
a3a5cf,United States,154.2,5189.22
ac8583,United States,214.4,9791.7
ac8588,United States,185.46,6278.88
c02f21,Canada,215.88,8061.96
a95380,United States,49.94,2918.46
ac8587,United States,202.4,12481.56
a64e2a,United States,191.65,10911.84
4080bb,United Kingdom,191.3,5394.96
a52e54,United States,205.52,9936.48
75840d,Philippines,39.13,396.24
4080c2,United Kingdom,233.98,11430.0
0180a6,Libyan Arab Jamahiriya,230.19,10965.18
782183,China,206.4,5204.46
